x [ft],Axial [lbf],Shear [lbf],Moment [lbf.ft],Deflection [m]
0.0,0,0.0,0.0,-0.0
0.0,0,-0.03,-0.0,-0.0
0.001,0,-0.059,-0.0,-0.0
0.001,0,-0.089,-0.0,-0.0
0.001,0,-0.119,-0.0,-0.0
0.001,0,-0.148,-0.0,-0.0
0.002,0,-0.178,-0.0,-0.0
0.002,0,-0.207,-0.0,-0.0
0.002,0,-0.237,-0.0,-0.0
0.003,0,-0.267,-0.0,-0.0
0.003,0,-0.296,-0.0,-0.0
0.003,0,-0.326,-0.001,-0.0
0.004,0,-0.356,-0.001,-0.0
0.004,0,-0.385,-0.001,-0.0
0.004,0,-0.415,-0.001,-0.0
0.004,0,-0.444,-0.001,-0.0
0.005,0,-0.474,-0.001,-0.0
0.005,0,-0.504,-0.001,-0.0
0.005,0,-0.533,-0.001,-0.0
0.006,0,-0.563,-0.002,-0.0
0.006,0,-0.593,-0.002,-0.0
0.006,0,-0.622,-0.002,-0.0
0.007,0,-0.652,-0.002,-0.0
0.007,0,-0.682,-0.002,-0.0
0.007,0,-0.711,-0.003,-0.0
0.007,0,-0.741,-0.003,-0.0
0.008,0,-0.77,-0.003,-0.0
0.008,0,-0.8,-0.003,-0.0
0.008,0,-0.83,-0.003,-0.0
0.009,0,-0.859,-0.004,-0.0
0.009,0,-0.889,-0.004,-0.0
0.009,0,-0.919,-0.004,-0.0
0.009,0,-0.948,-0.004,-0.0
0.01,0,-0.978,-0.005,-0.0
0.01,0,-1.007,-0.005,-0.0
0.01,0,-1.037,-0.005,-0.0
0.011,0,-1.067,-0.006,-0.0
0.011,0,-1.096,-0.006,-0.0
0.011,0,-1.126,-0.006,-0.0
0.012,0,-1.156,-0.007,-0.0
0.012,0,-1.185,-0.007,-0.0
0.012,0,-1.215,-0.007,-0.0
0.012,0,-1.244,-0.008,-0.0
0.013,0,-1.274,-0.008,-0.0
0.013,0,-1.304,-0.008,-0.0
0.013,0,-1.333,-0.009,-0.0
0.014,0,-1.363,-0.009,-0.0
0.014,0,-1.393,-0.01,-0.0
0.014,0,-1.422,-0.01,-0.0
0.015,0,-1.452,-0.011,-0.0
0.015,0,-1.482,-0.011,-0.0
0.015,0,-1.511,-0.011,-0.0
0.015,0,-1.541,-0.012,-0.0
0.016,0,-1.57,-0.012,-0.0
0.016,0,-1.6,-0.013,-0.0
0.016,0,-1.63,-0.013,-0.0
0.017,0,-1.659,-0.014,-0.0
0.017,0,-1.689,-0.014,-0.0
0.017,0,-1.719,-0.015,-0.0
0.017,0,-1.748,-0.015,-0.0
0.018,0,-1.778,-0.016,-0.0
0.018,0,-1.807,-0.016,-0.0
0.018,0,-1.837,-0.017,-0.0
0.019,0,-1.867,-0.017,-0.0
0.019,0,-1.896,-0.018,-0.0
0.019,0,-1.926,-0.019,-0.0
0.02,0,-1.956,-0.019,-0.0
0.02,0,-1.985,-0.02,-0.0
0.02,0,-2.015,-0.02,-0.0
0.02,0,-2.045,-0.021,-0.0
0.021,0,-2.074,-0.022,-0.0
0.021,0,-2.104,-0.022,-0.0
0.021,0,-2.133,-0.023,-0.0
0.022,0,-2.163,-0.023,-0.0
0.022,0,-2.193,-0.024,-0.0
0.022,0,-2.222,-0.025,-0.0
0.023,0,-2.252,-0.025,-0.0
0.023,0,-2.282,-0.026,-0.0
